Company,Date,Open,High,Low,Close,Adj Close,Volume,PctChange
INTC,2/26/18,48.200001,49.130001,48.099998,49.110001,49.110001,26992300,3.064006167
INTC,2/27/18,49.369999,50.900002,49.310001,49.91,49.91,43624100,4.742912708
INTC,2/28/18,50.18,50.34,49.279999,49.290001,49.290001,35541200,3.441760611
JNJ,2/1/18,137.529999,140.669998,137,140.020004,139.129105,9393600,0
JNJ,2/2/18,139.020004,140.360001,137.380005,137.679993,136.803986,9262500,-1.671197638
JNJ,2/5/18,136.580002,137,122.150002,130.389999,129.560364,19954100,-6.87759229
JNJ,2/6/18,130.009995,132.990005,128,131.830002,130.991211,19193500,-5.849165666
JNJ,2/7/18,131.889999,133.429993,131.350006,131.419998,130.583817,10550400,-6.141983827
JNJ,2/8/18,130.910004,131.25,126.110001,126.360001,125.556015,11680200,-9.755751043
JNJ,2/9/18,127.519997,130.919998,125.440002,129.529999,128.705841,15030900,-7.491790244
JNJ,2/12/18,130,131.320007,127.68,130.270004,129.441132,9963900,-6.96329076
JNJ,2/13/18,129.210007,130.600006,128.699997,129.960007,129.133118,6339000,-7.184685554
JNJ,2/14/18,129.440002,130.009995,128.389999,129.669998,128.844955,6259700,-7.391805245
JNJ,2/15/18,130.100006,131.279999,129.399994,131.229996,130.39502,5606400,-6.277680152
JNJ,2/16/18,130.960007,134.449997,130.839996,133.149994,132.302811,7970100,-4.906448939
JNJ,2/20/18,132.869995,133.449997,130.660004,130.869995,130.037308,6563500,-6.534786987
JNJ,2/21/18,130.800003,132.429993,129.860001,129.910004,129.083435,6578000,-7.22039688
JNJ,2/22/18,130.100006,131.020004,129.479996,129.910004,129.083435,5732200,-7.22039688
JNJ,2/23/18,130.089996,132.080002,130.020004,132.020004,131.180008,5126800,-5.713469341
JNJ,2/26/18,131.710007,133.410004,131,132.070007,132.070007,6684400,-5.677758015
JNJ,2/27/18,132.210007,133.089996,131.600006,131.669998,131.669998,7158600,-5.96343791
JNJ,2/28/18,131.949997,132.330002,129.869995,129.880005,129.880005,7985900,-7.241821676
JPM,2/1/18,115.769997,116.989998,115.480003,116.870003,116.870003,13800600,0
JPM,2/2/18,116.489998,116.919998,114.089996,114.279999,114.279999,16477300,-2.216140954
JPM,2/5/18,113,114.589996,103.980003,108.800003,108.800003,30097600,-6.905108063
JPM,2/6/18,106.849998,112.480003,106.610001,112.110001,112.110001,33114800,-4.072903121
JPM,2/7/18,111.550003,114.449997,111.150002,112.870003,112.870003,21878300,-3.422606227
JPM,2/8/18,113.110001,113.110001,107.839996,107.879997,107.879997,27425800,-7.692312629
JPM,2/9/18,109.099998,111.050003,106.230003,110.040001,110.040001,28188000,-5.844101844
JPM,2/12/18,111.169998,112.730003,110.07,111.739998,111.739998,18043300,-4.389496764
JPM,2/13/18,111.32,113.050003,110.800003,112.43,112.43,16358200,-3.799095479
JPM,2/14/18,112.629997,115.269997,112.529999,115.029999,115.029999,15186900,-1.574402287
JPM,2/15/18,115.739998,115.989998,114.220001,115.510002,115.510002,12130200,-1.163686973
JPM,2/16/18,114.550003,116.07,114.5,114.68,114.68,13214300,-1.873879476
JPM,2/20/18,114.650002,115.389999,113.970001,114.709999,114.709999,13461500,-1.848210785
JPM,2/21/18,115,117.449997,114.669998,115.190002,115.190002,14212500,-1.437495471
JPM,2/22/18,115.5,116.43,114.760002,114.980003,114.980003,17070400,-1.617181442
JPM,2/23/18,115.309998,117.389999,115.309998,117.309998,117.309998,12162500,0.376482407
JPM,2/26/18,118.139999,118.900002,117.32,118.769997,118.769997,16511200,1.625732824
JPM,2/27/18,118.910004,119.330002,117.349998,117.360001,117.360001,17563300,0.419267551
JPM,2/28/18,117.82,118.489998,115.339996,115.5,115.5,17735600,-1.1722452
MCD,2/1/18,170.270004,173.539993,168.889999,171.899994,170.819336,4751300,0
MCD,2/2/18,170.800003,172.729996,168.990005,169.380005,168.315186,4604500,-1.465962238
MCD,2/5/18,168.610001,169.460007,153.860001,163.850006,162.819946,7309300,-4.682948389
MCD,2/6/18,158.350006,166.050003,158.25,165.179993,164.141571,7020000,-3.909250282
MCD,2/7/18,164.860001,168.259995,164.520004,165.710007,164.668259,4974000,-3.600923337
MCD,2/8/18,165.690002,165.729996,158.759995,158.970001,157.970627,5656000,-7.521811199
MCD,2/9/18,159.979996,161.979996,155.229996,160.800003,159.789124,7187100,-6.457237573
MCD,2/12/18,162.369995,165.889999,161.5,163.899994,162.869629,5255900,-4.653868691
MCD,2/13/18,163,163.830002,161.720001,162.399994,161.379059,5406000,-5.52646907
MCD,2/14/18,161.440002,162.020004,159.679993,159.990005,158.984222,5865600,-6.928440614
MCD,2/15/18,161.139999,161.520004,158.809998,160.779999,159.769241,5012100,-6.468874571
MCD,2/16/18,159.470001,159.899994,157.759995,157.789993,156.798035,7165800,-8.208261485
MCD,2/20/18,157,159.160004,156.279999,157.160004,156.172012,5211100,-8.574747245
MCD,2/21/18,157.759995,161.320007,157.600006,158.639999,157.6427,7833400,-7.713784446
MCD,2/22/18,158.949997,161.399994,158.899994,160.660004,159.650009,4398200,-6.538679693
MCD,2/23/18,161.440002,163.309998,161.440002,163.059998,162.034912,4272400,-5.142522576
MCD,2/26/18,164,164.75,162.300003,163.580002,162.551651,4525200,-4.840018784
MCD,2/27/18,164.190002,164.5,160.639999,160.660004,159.650009,4907500,-6.538679693
MCD,2/28/18,160.429993,161.210007,157.720001,157.740005,157.740005,6116800,-8.237341183
MMM,2/1/18,247.440002,250.089996,246.179993,247.940002,246.486557,2665500,0
MMM,2/2/18,246.429993,248.75,244.880005,245.169998,243.732803,3925700,-1.11720738
MMM,2/5/18,243.5,244.399994,226.009995,231.440002,230.083282,6590500,-6.654835794
MMM,2/6/18,227.509995,234.570007,226.809998,233.630005,232.260452,5108100,-5.771556378
MMM,2/7/18,233.190002,237.520004,232.820007,233.190002,231.823029,2885600,-5.949019876
MMM,2/8/18,233.160004,233.309998,222.649994,222.889999,221.583405,3751300,-10.10325191
MMM,2/9/18,224.610001,226.960007,218.179993,225.210007,223.889816,4518600,-9.167538443
MMM,2/12/18,227.490005,230.380005,226.100006,229.190002,227.846481,3290400,-7.562313402
MMM,2/13/18,229.710007,231.970001,228.929993,231.360001,230.003754,2523600,-6.687102068
MMM,2/14/18,229.449997,232.869995,228.470001,232,230.639999,2337800,-6.428975507
MMM,2/15/18,233.309998,234.899994,230.880005,234.869995,234.869995,2127500,-5.271439419
MMM,2/16/18,234.970001,238.440002,233.389999,236.669998,236.669998,2221800,-4.545456122
MMM,2/20/18,234.539993,236.669998,233.910004,235.070007,235.070007,2675900,-5.190769902
MMM,2/21/18,234.710007,237.860001,232.100006,232.179993,232.179993,2561400,-6.356380121
MMM,2/22/18,232.429993,237.369995,232.259995,236,236,2284500,-4.815681981
MMM,2/23/18,236.850006,237.889999,234.389999,237.020004,237.020004,1616700,-4.404290519
MMM,2/26/18,239.009995,244.860001,238.509995,244.139999,244.139999,3086800,-1.532630059
MMM,2/27/18,244.610001,244.669998,240.720001,240.779999,240.779999,1778300,-2.887796621
MMM,2/28/18,241.639999,242.279999,235.399994,235.509995,235.509995,2461400,-5.013312455
MSFT,2/1/18,94.790001,96.07,93.580002,94.260002,93.81929,47227900,0
MSFT,2/2/18,93.639999,93.970001,91.5,91.779999,91.350883,47867800,-2.631023708
MSFT,2/5/18,90.559998,93.239998,88,88,87.588554,51031500,-6.641207158
MSFT,2/6/18,86.889999,91.480003,85.25,91.330002,90.902985,67998600,-3.108423443
MSFT,2/7/18,90.489998,91.769997,89.199997,89.610001,89.191025,41107600,-4.933164546
